-71.1093902,42.3670667,441 Franklin St, Cambridge, Ma, 8003
-71.109085,42.3660809,44 Kinnaird St, Cambridge, Ma, 8041
-71.1075382,42.366672,454 Green St, Cambridge, Ma, 8073
-71.1096374,42.3672,457 Franklin St, Cambridge, Ma, 8074
-71.1090898,42.3661841,46 Kinnaird St, Cambridge, Ma, 8179
-71.1083167,42.3672853,489 Green St, Cambridge, Ma, 8305
-71.109148,42.3662986,48 Kinnaird St, Cambridge, Ma, 8349
-71.1084289,42.3673406,491 Green St, Cambridge, Ma, 8388
-71.1084855,42.3673751,495 Green St, Cambridge, Ma, 8394
-71.1086894,42.3671326,496 Green St, Cambridge, Ma, 8395
-71.1086559,42.3672839,498 Green St, Cambridge, Ma, 8397
-71.1086366,42.367475,501 Green St, Cambridge, Ma, 8579
-71.1087718,42.367348,502 Green St, Cambridge, Ma, 8583
-71.1087171,42.3675158,505 Green St, Cambridge, Ma, 8590
-71.1089055,42.3674195,508 Green St, Cambridge, Ma, 8591
-71.1088014,42.3675604,509 Green St, Cambridge, Ma, 8594
-71.1091131,42.3679435,50 Hancock St, Cambridge, Ma, 8614
-71.1089417,42.3676414,515 Green St, Cambridge, Ma, 8657
-71.1091496,42.3677589,521 Green St, Cambridge, Ma, 8718
-71.1090971,42.3675191,516 Green St, Cambridge, Ma, 8719
-71.1092974,42.3678173,527 Green St, Cambridge, Ma, 8725
-71.1089932,42.3681108,56 Hancock St, Cambridge, Ma, 8955
-71.1095213,42.3664392,54 Kinnaird St, Cambridge, Ma, 9080
-71.1098549,42.3639004,5 Jay St, Cambridge, Ma, 9209
-71.1106598,42.3659639,56-1/2 Howard St, Cambridge, Ma, 9304
-71.1068786,42.3636193,34 William St, Cambridge, Ma, 6964
-71.1069861,42.3630126,39 Magazine St, Cambridge, Ma, 7508
-71.1022186,42.3683504,260 Harvard St, Cambridge, Ma, 5589
-71.1028061,42.3688165,269 Harvard St, Cambridge, Ma, 5644
-71.1026707,42.3674089,2 St Paul St, Cambridge, Ma, 6242
-71.1017233,42.369451,326 Broadway, Cambridge, Ma, 6607
-71.1021718,42.3695694,330 Broadway, Cambridge, Ma, 6711
-71.1029143,42.3676391,3 St Paul St, Cambridge, Ma, 7628
-71.1042217,42.3672986,4 Austin Pk, Cambridge, Ma, 8457
-71.1030452,42.3676881,5 St Paul St, Cambridge, Ma, 9240
